,Name,Point
209,혜화문,4.3
210,서울시립과학관,4.4
211,소덕문 터(옛 서소문),
212,돈의문 터(옛 서대문),3.9
213,숙정문,4.4
214,돈의문 박물관마을,4.4
215,서울중앙우체국,4.2
216,돈의문 터(옛 서대문),3.9
217,숙정문,4.4
218,돈의문 박물관마을,4.4
219,서울중앙우체국,4.2
220,아라아트센터,4.1
221,코엑스,4.4
222,구하산방,4.0
223,aT센터,4.1
224,aT센터,4.1
225,절두산순교성지,4.5
226,돈의문역사관,4.4
227,서울메트로미술관,4.2
228,백범광장공원,4.5
229,연세대 캠퍼스,4.6
230,봉원사,4.4
231,ECC(Ewha Campus Complex),3.0
232,백범광장공원,4.5
233,연세대 캠퍼스,4.6
234,봉원사,4.4
235,ECC(Ewha Campus Complex),3.0
236,홍익문고,4.2
237,미도사진관,2.0
238,춘추사,5.0
239,연희사진관,4.3
240,춘추사,5.0
241,연희사진관,4.3
242,해창양복점,
243,글벗서점,
244,호미화방,4.5
245,유일한의원,5.0
246,서울음악사,5.0
247,서울상회,4.7
248,서울음악사,5.0
249,서울상회,4.7
250,돌 레코드,3.5
251,삼보원,
252,대구참기름집,5.0
253,이음피움 봉제역사관,
254,삼청로 안내소,4.7
255,신촌역사 관광안내소,1.0
256,삼청로 안내소,4.7
257,신촌역사 관광안내소,4.0
258,DDP 관광안내소,5.0
259,시민청 관광안내소,4.4
260,광화문 관광안내소,5.0
261,홍대입구 관광안내소,3.9
262,삼일교 관광안내소,4.0
263,남대문시장 관광안내소,4.2
264,이태원 관광안내소(지하),5.0
265,이태원 관광안내소(지상),5.0
266,동대문 관광안내소,4.3
267,용산역관광정보센터,4.3
268,서울역관광정보센터,4.3
269,송파관광정보센터,4.3
270,영등포관광정보센터,
271,마포관광정보센터,4.0
272,북촌마을관광안내소,4.7
273,초대길,
274,근현대사기념관,4.2
275,한영양복점,5.0
276,박인당,4.0
277,문화이용원,
278,공근혜갤러리,4.0
279,공평도시유적전시관,4.5
