0,양화진외국인선교사묘원,4.8,37.5465363146722,126.910929600004
1,호림박물관 (신사분관),4.1,37.5225509345279,127.036041194408
2,갤러리 학고재,4.5,37.58024753641691,126.98045527252978
3,송은(SONGEUN),3.0,37.5241627897077,127.04411917168424
4,김종영 미술관,4.5,37.613073739708746,126.97756193640366
5,경희대학교 한의학역사박물관,4.2,37.595859912732,127.0542212231
6,경복궁,4.6,37.5776087830657,126.976896737645
7,창덕궁,4.6,37.58187064743792,126.99164485515004
8,전쟁기념관,4.6,37.53694681778275,126.97712765885771
9,국립중앙박물관,4.6,37.5240180044574,126.98021428621992
10,봉은사,4.5,37.63780878230513,126.94335545006767
11,명동성당,4.6,37.56318453011765,126.98735609674071
12,조계사,4.5,37.57395881968132,126.98185608504004
13,예술의 전당 한가람미술관,4.5,37.4804281441544,127.014236530093
14,롯데월드타워,4.4,37.51260447840551,127.10255558658325
15,창경궁,4.6,37.5794165384496,126.995199911733
16,리움 미술관,4.8,37.53833657002706,126.99911744955163
17,몽촌역사관,4.2,37.52385065871324,127.12427977288019
18,삼청동 골목길,4.2,37.58366439471216,126.98229753672689
19,서대문형무소역사관,4.6,37.57450354008834,126.95631527553333
20,별마당 도서관,4.6,37.5114049032238,127.059779217097
21,서울역사박물관,4.4,37.5705003227005,126.970546366796
22,국립현대미술관 서울관 갤러리아트존,4.6,0,0
23,국립현대미술관 서울관,4.6,37.578627489574416,126.9800979573524
24,서울 한양도성,4.6,37.58079664277135,127.00863578989066
25,경희대학교 중앙박물관,4.2,37.2410172137362,127.079711534873
26,서울중앙성원,4.7,37.5334008669977,126.997578803222
27,아라리오뮤지엄 인 스페이스,4.5,37.5777438354931,126.988547970142
28,롯데월드 민속박물관,4.3,37.51167139884303,127.09788298321479
29,고려대학교 본관 및 구 중앙도서관,4.6,0,0
30,국립서울현충원,4.6,37.4998239211339,126.97840898031565
31,길상사,4.6,37.5989608321893,126.994401452213
32,서대문자연사박물관,4.3,37.5767116472635,126.937732431365
33,한국가구박물관,4.6,37.60001763264553,126.99322140350705
34,국립중앙박물관 어린이박물관,4.6,37.5243529876125,126.979112346915
35,명동관광정보센터,4.3,37.5651511309814,126.985013903885
36,대한성공회서울주교좌성당(서울성공회성당),4.6,37.56700751210877,126.97607711480808
37,서울도서관 (옛 서울시청사),4.5,0,0
38,청계천박물관,4.3,37.57129886065509,127.03510702262219
39,진관사,4.5,37.6380555024502,126.946908304654
40,화계사,4.4,37.6327441976933,127.007341223029
41,연세대학교 스팀슨관&언더우드관&아펜젤러관,4.6,37.5660945923844,126.938248358592
42,가회민화박물관,4.8,37.581509621394,126.985227994125
43,국립국악원박물관,4.7,37.47792476713986,127.00882857012994
44,국립중앙도서관,4.5,37.4976237970439,127.002985471402
45,갤러리 현대,4.5,37.57728226325563,126.97985039338869
46,금호미술관,4.2,37.577465172613,126.979894494703
47,헌인릉,4.3,37.4653644311783,127.082087774919
48,뮤지엄김치간,4.1,37.5736024547676,126.984903537733
49,한상수자수박물관,4.1,37.59361267639262,127.00092849527279
50,아라리오갤러리 서울,4.2,37.57787357469807,126.98850719564723
51,국제갤러리,4.3,37.5806836181488,126.980459686997
52,종이나라박물관,3.6,37.5596558395786,127.006211303255
53,북촌동양문화박물관,4.4,37.5839997196473,126.983366221724
54,서울약령시 한의약박물관,4.3,37.580650407181295,127.03762584040382
55,토탈미술관,4.3,37.61216787699209,126.9756990938195
56,겸재정선미술관,4.1,37.5722171090187,126.838474523164
57,남산서울타워,4.5,37.551279740966,126.988217046052
58,북촌한옥마을,4.3,37.5829185302128,126.983384576672
59,동대문디자인플라자 (DDP),4.3,37.5672022510154,127.010843711291
60,서초관광정보센터,5.0,37.4981361217584,127.027014177038
61,덕수궁,4.5,37.5655638710672,126.974894754989
62,종묘,4.5,37.5761080433804,126.994212979827
63,광화문광장 야경,4.3,0,0
64,광화문광장,4.3,37.572602860810186,126.97691639601517
65,흥인지문(동대문),4.3,37.571141513487,127.009571946966
66,숭례문(남대문),4.7,37.5600030088843,126.975313124237
67,63스퀘어,4.2,37.5198995549038,126.940200432343
68,문화역서울 284,4.4,37.5558828120624,126.971588794949
69,청와대,3.8,37.58657325133722,126.9748537345249
70,국립고궁박물관,4.5,37.576635285174,126.974823115204
71,선정릉(선릉),,37.5091105328378,127.04892851392
72,운현궁,4.3,37.576226410093,126.987085596535
73,서울시립미술관 (서소문본관),4.6,37.5638841095158,126.973500865717
74,서울광장,4.3,37.5656726042805,126.977968926957
75,대한민국역사박물관,4.5,37.573986969296435,126.97785780450153
76,경희궁,4.4,37.5707881525953,126.968649079046
77,한국은행화폐박물관,4.5,37.5620978998462,126.980523397494
78,세빛섬,4.2,37.51233177478449,126.99588851601666
79,보신각(상설타종행사),4.2,0,0
80,국회의사당,4.0,37.53190827313679,126.91416237338858
81,국립현대미술관 덕수궁관,4.6,37.5659384342432,126.973740099183
82,도산공원,4.4,37.52455769460598,127.03528760485077
83,정릉,4.5,37.6021719603678,127.005657675347
84,안중근의사기념관,4.7,37.55352399072,126.980407931726
85,아름다운 차박물관,4.3,37.5723700147182,126.985881825528
86,국립어린이민속박물관,4.4,37.58200957846773,126.97871132318149
87,환구단(원구단),4.2,0,0
88,한성백제박물관,4.4,37.5154126785182,127.120895017165
89,서울올림픽기념관,4.6,37.52020410728306,127.11559967962732
90,북악스카이웨이 팔각정,4.3,37.601590273158,126.980658058024
91,약현성당,4.6,37.55910822297294,126.96747917654307
92,의학박물관 (구 대한의원),4.1,0,0
